,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
1149,SANTA CRUZ,Deseado,Las Heras,--,--,--,SI,SI,SI,--,SI,SI
1150,SANTA CRUZ,Deseado,Pico Truncado,--,--,--,SI,SI,SI,--,SI,SI
1151,SANTA CRUZ,Deseado,Puerto Deseado,SI,--,SI,--,SI,SI,SI,--,SI
1152,SANTA CRUZ,Deseado,Tellier,--,--,--,--,--,--,--,--,SI
1153,SANTA CRUZ,Güer Aike,28 de Noviembre,--,--,--,SI,SI,SI,SI,SI,SI
1154,SANTA CRUZ,Güer Aike,El Turbio (Est. Gobernador Mayer),--,--,--,--,--,--,--,--,SI
1155,SANTA CRUZ,Güer Aike,Julia Dufour,--,--,--,--,SI,--,--,--,--
1156,SANTA CRUZ,Güer Aike,Mina 3,--,--,--,--,--,SI,--,--,SI
1157,SANTA CRUZ,Güer Aike,Río Gallegos,--,SI,SI,SI,SI,SI,SI,--,SI
1158,SANTA CRUZ,Güer Aike,Rospentek,--,--,--,--,--,--,SI,--,--
1159,SANTA CRUZ,Güer Aike,Yacimientos Río Turbio,--,--,--,--,SI,SI,SI,--,SI
1160,SANTA CRUZ,Lago Argentino,El Calafate,SI,--,--,SI,SI,SI,SI,SI,SI
1161,SANTA CRUZ,Lago Argentino,El Chaltén,--,--,--,SI,--,--,SI,SI,SI
1162,SANTA CRUZ,Lago Argentino,Tres Lagos,--,--,--,--,--,--,SI,--,SI
1163,SANTA CRUZ,Lago Buenos Aires,Los Antiguos,--,--,SI,--,SI,--,SI,SI,SI
1164,SANTA CRUZ,Lago Buenos Aires,Perito Moreno,--,SI,SI,--,SI,SI,SI,--,SI
1165,SANTA CRUZ,Magallanes,Puerto San Julián,SI,SI,SI,--,SI,SI,SI,SI,SI
1166,SANTA CRUZ,Río Chico,Bajo Caracoles,--,--,--,--,--,--,SI,--,SI
1167,SANTA CRUZ,Río Chico,Gobernador Gregores,--,--,--,--,--,--,SI,--,SI
1168,SANTA CRUZ,Río Chico,Hipólito Yrigoyen,--,--,--,--,--,--,SI,--,--
1169,SANTA FE,9 de Julio,Campo Garay,--,--,--,--,--,--,--,--,--
1170,SANTA FE,9 de Julio,Esteban Rams,--,--,--,--,SI,--,SI,SI,SI
1171,SANTA FE,9 de Julio,Gato Colorado,--,--,--,--,SI,--,SI,--,SI
1172,SANTA FE,9 de Julio,Gregoria Pérez de Denis (Est. El Nochero),--,--,--,--,SI,--,SI,SI,SI
1173,SANTA FE,9 de Julio,Independencia,--,--,--,--,--,--,--,--,--
1174,SANTA FE,9 de Julio,Logroño,SI,--,--,--,SI,SI,SI,SI,--
1175,SANTA FE,9 de Julio,Montefiore,--,--,--,--,--,--,SI,SI,SI
1176,SANTA FE,9 de Julio,Pozo Borrado,--,--,--,--,SI,--,SI,SI,--
1177,SANTA FE,9 de Julio,San Bernardo,--,--,--,--,--,--,SI,SI,--
1178,SANTA FE,9 de Julio,Santa Margarita,--,--,--,--,SI,--,SI,SI,SI
1179,SANTA FE,9 de Julio,Tostado,SI,SI,--,--,SI,SI,SI,SI,SI
1180,SANTA FE,9 de Julio,Villa Minetti,--,--,--,--,SI,SI,SI,SI,SI
1181,SANTA FE,Belgrano,Armstrong,SI,--,--,SI,SI,SI,SI,SI,--
1182,SANTA FE,Belgrano,Bouquet,SI,--,--,--,SI,--,SI,SI,--
1183,SANTA FE,Belgrano,Las Parejas,SI,--,--,SI,SI,SI,SI,SI,--
1184,SANTA FE,Belgrano,Las Rosas,SI,SI,--,SI,SI,SI,SI,SI,--
1185,SANTA FE,Belgrano,Montes de Oca,SI,--,--,--,SI,--,SI,SI,SI
1186,SANTA FE,Belgrano,Tortugas,SI,--,--,--,SI,SI,SI,--,SI
1187,SANTA FE,Caseros,Arequito,SI,SI,--,--,SI,SI,SI,--,--
1188,SANTA FE,Caseros,Arteaga,SI,SI,--,--,SI,SI,SI,SI,--
1189,SANTA FE,Caseros,Beravebú,--,--,--,--,SI,SI,SI,SI,--
1190,SANTA FE,Caseros,Bigand,SI,SI,--,--,SI,SI,SI,--,--
1191,SANTA FE,Caseros,Casilda,SI,SI,--,SI,SI,SI,SI,SI,--
1192,SANTA FE,Caseros,Chabás,SI,--,--,SI,SI,SI,SI,SI,--
1193,SANTA FE,Caseros,Chañar Ladeado,SI,SI,--,SI,SI,SI,SI,--,--
1194,SANTA FE,Castellanos,Bauer y Sigel,SI,--,--,--,--,--,SI,SI,--
1195,SANTA FE,Castellanos,Bella Italia,SI,SI,--,SI,SI,SI,SI,SI,--
1196,SANTA FE,Castellanos,Castellanos,--,SI,--,--,--,--,SI,SI,--
1197,SANTA FE,Castellanos,Colonia Bicha,SI,--,--,SI,SI,--,--,--,--
1198,SANTA FE,Castellanos,Colonia Cello,--,--,--,--,SI,--,SI,SI,--
1199,SANTA FE,Castellanos,Colonia Margarita,--,SI,--,--,--,--,SI,--,--
1200,SANTA FE,Castellanos,Colonia Raquel,SI,--,--,SI,--,--,SI,SI,--
1201,SANTA FE,Castellanos,Coronel Fraga,--,--,--,--,--,--,SI,SI,--
1202,SANTA FE,Castellanos,Egusquiza,--,--,--,--,SI,--,--,--,--
1203,SANTA FE,Castellanos,Esmeralda,--,SI,--,--,SI,--,SI,--,--
1204,SANTA FE,Castellanos,Estación Clucellas,--,SI,--,--,SI,--,SI,SI,--
1205,SANTA FE,Castellanos,Estacion Presidente Roca,--,--,--,--,--,--,--,--,--
1206,SANTA FE,Castellanos,Estación Saguier,--,SI,--,--,--,--,--,SI,--
1207,SANTA FE,Castellanos,Eusebia y Carolina,SI,--,--,SI,SI,--,--,--,--
1208,SANTA FE,Castellanos,Eustolia,--,--,--,--,--,--,--,SI,--
1209,SANTA FE,Castellanos,Frontera,--,--,--,--,SI,SI,--,SI,--
1210,SANTA FE,Castellanos,Garibaldi,--,--,--,--,--,--,SI,--,--
1211,SANTA FE,General López,Lazzarino,--,--,--,--,SI,--,--,--,--
1212,SAN LUIS,General Pedernera,Villa Mercedes,SI,SI,SI,SI,SI,SI,SI,SI,--
1213,SAN LUIS,General Pedernera,Villa Reynolds,--,--,--,--,SI,SI,--,--,--
1214,SAN LUIS,General Pedernera,Villa Salles,--,--,--,--,--,--,--,SI,--
1215,SAN LUIS,Gobernador Dupuy,Anchorena,--,--,SI,--,SI,--,SI,SI,--
1216,SAN LUIS,Gobernador Dupuy,Arizona,--,--,SI,--,SI,--,SI,SI,--
1217,SAN LUIS,Gobernador Dupuy,Bagual,--,--,--,--,--,--,SI,SI,--
1218,SAN LUIS,Gobernador Dupuy,Batavia,--,--,--,--,--,--,SI,SI,SI
1219,SAN LUIS,Gobernador Dupuy,Buena Esperanza,--,--,SI,--,SI,--,SI,SI,SI
1220,SAN LUIS,Gobernador Dupuy,Fortín El Patria,--,--,--,--,SI,--,SI,SI,SI
1221,SAN LUIS,Gobernador Dupuy,Fortuna,--,--,SI,--,--,--,SI,SI,SI
1222,SAN LUIS,Gobernador Dupuy,La Maroma,--,--,--,--,--,--,SI,--,SI
1223,SAN LUIS,Gobernador Dupuy,Los Overos,--,--,--,--,--,--,--,--,--
1224,SAN LUIS,Gobernador Dupuy,Martín de Loyola,--,--,--,--,--,--,--,SI,SI
1225,SAN LUIS,Gobernador Dupuy,Nahuel Mapá,--,--,--,--,--,--,SI,SI,--
1226,SAN LUIS,Gobernador Dupuy,Navia,--,--,--,--,--,--,--,SI,SI
1227,SAN LUIS,Gobernador Dupuy,Nueva Galia,--,--,--,--,SI,--,SI,SI,--
1228,SANTA FE,Castellanos,Humberto Primo,SI,SI,--,SI,SI,SI,SI,SI,--
1229,SANTA FE,Castellanos,Josefina,SI,SI,--,--,SI,SI,SI,SI,--
1230,SANTA FE,Castellanos,Lehmann,SI,SI,--,SI,SI,SI,SI,SI,--
1231,SANTA FE,Castellanos,María Juana,SI,SI,--,SI,SI,SI,SI,SI,--
1232,SANTA FE,Castellanos,Nueva Lehmann,--,--,--,--,--,--,--,--,--
1233,SANTA FE,Castellanos,Plaza Clucellas,SI,SI,--,--,SI,SI,SI,--,--
1234,SANTA FE,Castellanos,Plaza Saguier,--,SI,--,--,SI,--,--,--,--
1235,SANTA FE,Castellanos,Presidente Roca,--,SI,--,SI,SI,--,SI,SI,--
1236,SANTA FE,Castellanos,Pueblo Marini,--,--,--,--,--,--,--,SI,--
1237,SANTA FE,Castellanos,Rafaela,SI,SI,--,SI,SI,SI,SI,SI,SI
1238,SANTA FE,Castellanos,Ramona,SI,--,--,--,SI,SI,SI,SI,--
1239,SANTA FE,Castellanos,San Antonio,--,SI,--,--,--,--,--,SI,--
1240,SANTA FE,Castellanos,San Vicente,SI,SI,--,--,SI,SI,SI,SI,--
1241,SANTA FE,Castellanos,Santa Clara de Saguier,SI,SI,--,--,SI,--,SI,SI,--
1242,SANTA FE,Castellanos,Sunchales,SI,SI,--,SI,SI,SI,SI,SI,--
1243,SANTA FE,Castellanos,Susana,--,--,--,SI,SI,SI,SI,SI,--
1244,SANTA FE,Castellanos,Tacural,SI,--,--,SI,SI,SI,SI,--,--
1245,SANTA FE,Castellanos,Vila,SI,--,--,--,SI,SI,SI,--,--
1246,SANTA FE,Castellanos,Villa Josefina,--,--,--,--,--,--,--,--,--
1247,SANTA FE,Castellanos,Villa San José,--,SI,--,--,--,--,SI,SI,--
1248,SANTA FE,Castellanos,Virginia,--,--,--,--,--,--,--,SI,--
1249,SANTA FE,Castellanos,Zenón Pereyra,--,SI,--,--,SI,SI,--,--,--
1250,SANTA FE,Constitución,Alcorta,SI,SI,--,SI,SI,SI,SI,SI,--
1251,SANTA FE,Constitución,Barrio Arroyo del Medio,--,--,--,--,--,--,--,--,--
1252,SANTA FE,Constitución,Barrio Mitre,--,--,--,--,SI,SI,--,--,--
1253,SANTA FE,Constitución,Bombal,SI,SI,--,SI,SI,SI,SI,--,--
1254,SANTA FE,Constitución,Cañada Rica,--,--,--,--,SI,--,SI,--,--
1255,SANTA FE,Constitución,Cepeda,--,--,--,--,--,--,--,SI,--
1256,SANTA FE,Constitución,Empalme Villa Constitución,SI,--,--,--,SI,--,SI,--,--
1257,SANTA FE,Constitución,Firmat,--,--,--,--,--,--,--,--,--
1258,SANTA FE,Constitución,General Gelly,SI,--,--,--,SI,--,--,SI,--
1259,SANTA FE,Constitución,Godoy,--,--,--,--,SI,SI,SI,SI,--
1260,SANTA FE,Constitución,Juan B. Molina,SI,--,--,--,SI,SI,SI,SI,--
1261,SANTA FE,Constitución,Juncal,SI,--,--,SI,--,--,SI,SI,--
1262,SANTA FE,Constitución,La Vanguardia,--,--,--,SI,--,--,SI,--,--
1263,SANTA FE,Constitución,Máximo Paz (Est. Paz),SI,SI,--,--,SI,SI,SI,SI,--
1264,SANTA FE,Constitución,Pavón,SI,--,--,--,SI,SI,SI,--,--
1265,SANTA FE,Constitución,Pavón Arriba,--,--,--,SI,SI,SI,SI,SI,--
1266,SANTA FE,Constitución,Peyrano,--,SI,--,--,SI,--,SI,--,--
1267,SANTA FE,Constitución,Rueda,--,--,--,--,--,--,SI,SI,--
1268,SANTA FE,Constitución,Santa Teresa,SI,SI,--,SI,SI,SI,SI,SI,--
1269,SANTA FE,Constitución,Sargento Cabral,--,--,--,SI,SI,--,SI,SI,--
1270,SANTA FE,Constitución,Stephenson,--,--,--,--,SI,--,--,--,--
1271,SANTA FE,Constitución,Theobald,--,--,--,--,SI,--,SI,--,--
1272,SANTA FE,Constitución,Villa Constitución,SI,SI,--,SI,SI,SI,SI,SI,--
1273,SANTA FE,Garay,Cayastá,--,--,--,--,SI,SI,SI,SI,--
1274,SANTA FE,Garay,Helvecia,--,SI,--,--,SI,--,SI,SI,--
1275,SANTA FE,Garay,Los Zapallos,--,SI,--,--,SI,--,SI,--,--
1276,SANTA FE,Garay,Saladero Mariano Cabal,--,--,--,--,SI,--,SI,SI,SI
1277,SANTA FE,Garay,Santa Rosa de Calchines,SI,SI,--,--,SI,SI,SI,--,--
1278,SANTA FE,General López,Aarón Castellanos (Est. Castellanos),--,--,--,--,SI,--,SI,SI,--
1279,SANTA FE,General López,Amenábar,SI,--,--,--,SI,SI,SI,SI,--
1280,SANTA FE,General López,Cafferata,SI,--,--,SI,SI,SI,--,--,--
1281,SAN JUAN,Jáchal,San José de Jáchal,--,--,SI,SI,SI,SI,SI,SI,SI
1282,SAN JUAN,Jáchal,Tamberías,--,--,--,--,--,--,SI,SI,--
1283,SAN JUAN,Jáchal,Villa Malvinas Argentinas,--,--,--,--,--,--,--,SI,--
1284,SAN JUAN,Jáchal,Villa Mercedes,--,--,--,--,SI,--,SI,SI,SI
1285,SAN JUAN,Pocito,Barrio Municipal,--,--,--,--,--,--,--,--,--
1286,SAN JUAN,Pocito,Barrio Ruta 40,--,--,--,--,SI,SI,--,SI,--
1287,SAN JUAN,Pocito,Carpintería,--,--,--,--,SI,--,SI,SI,--
1288,SAN JUAN,Pocito,La Rinconada,--,--,--,--,SI,SI,--,--,--
1289,SAN JUAN,Pocito,Las Piedritas,--,--,--,--,--,--,--,--,--
1290,SAN JUAN,Pocito,Quinto Cuartel,--,--,--,--,SI,SI,SI,SI,--
1291,SAN JUAN,Pocito,Villa Aberastain,--,--,--,--,SI,SI,--,SI,--
1292,SAN JUAN,Pocito,Villa Aberastain - La Rinconada,SI,--,SI,--,--,--,SI,SI,SI
1293,SAN JUAN,Pocito,Villa Barbosa - Villa Nacusi,--,--,--,--,SI,SI,--,SI,--
1294,SAN JUAN,Pocito,Villa Barboza,--,--,--,--,SI,SI,--,--,--
1295,SAN JUAN,Pocito,Villa Centenario,--,--,--,--,SI,SI,--,SI,--
1296,SAN JUAN,Pocito,Villa Nacusi,--,--,--,--,--,--,--,--,--
1297,SAN JUAN,Rawson,El Medanito,--,--,--,--,--,SI,--,SI,--
1298,SANTA FE,General López,Cañada del Ucle,SI,--,--,--,--,--,SI,SI,--
1299,SANTA FE,General López,Carmen,--,--,--,--,SI,SI,SI,SI,--
1300,SANTA FE,General López,Carreras,--,SI,--,--,SI,SI,SI,SI,--
1301,SANTA FE,General López,Chapuy,--,SI,--,--,SI,SI,SI,--,--
1302,SANTA FE,General López,Chovet,--,SI,--,--,SI,SI,SI,--,SI
1303,SANTA FE,General López,Christophersen,--,--,--,SI,SI,--,SI,SI,--
1304,SANTA FE,General López,Diego de Alvear,SI,--,--,SI,SI,SI,SI,SI,--
1305,SANTA FE,General López,Elortondo,SI,--,--,--,SI,SI,SI,--,--
1306,SANTA FE,General López,Firmat,SI,SI,--,SI,SI,SI,SI,--,--
1307,SANTA FE,General López,Hughes,--,--,--,SI,SI,SI,SI,--,--
1308,SANTA FE,General López,La Chispa,--,--,--,--,--,--,SI,SI,--
1309,SANTA FE,General López,Labordeboy,SI,--,--,--,SI,--,SI,--,--
1310,SALTA,La Candelaria,El Tala,--,--,--,SI,SI,SI,SI,SI,SI
1311,SALTA,La Candelaria,La Candelaria,--,--,--,SI,SI,--,SI,--,--
1312,SALTA,La Poma,Cobres,--,--,--,--,--,--,--,--,--
1313,SALTA,La Poma,La Poma,--,--,--,SI,--,--,--,SI,--
1314,SALTA,La Viña,Ampascachi,--,--,--,--,--,--,--,SI,--
1315,SALTA,La Viña,Cabra Corral,--,--,--,--,SI,--,--,SI,--
1316,SALTA,La Viña,Coronel Moldes,SI,--,--,--,SI,SI,SI,SI,SI
1317,SALTA,La Viña,La Viña,--,--,--,SI,SI,--,SI,SI,SI
1318,SALTA,La Viña,Talapampa,--,--,--,--,--,--,--,SI,--
1319,SALTA,Los Andes,Olacapato,--,--,--,SI,--,--,--,SI,SI
1320,SALTA,Los Andes,San Antonio de los Cobres,--,--,--,SI,SI,--,SI,SI,SI
1321,SALTA,Los Andes,Santa Rosa de los Pastos Grandes,--,--,--,SI,--,--,--,SI,--
1322,SALTA,Los Andes,Tolar Grande,--,--,--,SI,SI,--,--,SI,SI
1323,SALTA,Metán,El Galpón,SI,--,--,SI,SI,SI,SI,--,SI
1324,SALTA,Metán,El Tunal,--,--,--,SI,SI,--,--,--,SI
1325,SALTA,Metán,Lumbreras,--,--,--,SI,--,--,--,--,--
1326,SALTA,Grl. José de San Martín,Padre Lozano,--,--,--,--,SI,--,--,--,--
1327,SALTA,Grl. José de San Martín,Piquirenda,--,--,--,SI,--,--,--,--,--
1328,SALTA,Grl. José de San Martín,Profesor Salvador Mazza,SI,--,--,SI,SI,SI,SI,--,SI
1329,SALTA,Grl. José de San Martín,Recaredo,--,--,--,--,--,--,--,--,--
1330,SALTA,Grl. José de San Martín,Tartagal,SI,SI,--,SI,SI,SI,SI,SI,SI
1331,SALTA,Grl. José de San Martín,Tobantirenda,--,--,--,SI,--,--,--,--,--
1332,SALTA,Grl. José de San Martín,Tranquitas,--,--,--,--,--,--,--,--,--
1333,SALTA,Grl. José de San Martín,Yacuy,--,--,--,SI,SI,--,--,--,--
1334,SALTA,Guachipas,Guachipas,--,--,--,SI,SI,--,SI,SI,SI
1335,SALTA,Iruya,Iruya,--,--,--,SI,--,--,--,SI,--
1336,SALTA,Iruya,Isla de Cañas,--,--,--,--,SI,--,--,SI,--
1337,SALTA,Iruya,Pueblo Viejo,--,--,--,SI,--,--,--,--,--
1338,SALTA,La Caldera,La Caldera,--,--,--,SI,SI,SI,SI,SI,SI
1339,SALTA,La Caldera,Vaqueros,SI,--,--,SI,SI,SI,SI,SI,--
1340,SALTA,La Candelaria,El Jardín,--,--,--,SI,SI,--,SI,--,SI
1341,SALTA,Metán,Metán Viejo,--,--,--,SI,SI,--,--,--,SI
1342,SALTA,Metán,Presa El Tunal,--,--,--,--,--,--,--,--,--
1343,SALTA,Metán,Río Piedras,SI,--,--,SI,SI,SI,SI,--,SI
1344,SALTA,Metán,San José de Metán,SI,SI,--,SI,SI,SI,SI,--,SI
1345,SALTA,Metán,San José de Orquera,--,--,--,SI,--,--,--,--,--
1346,SALTA,Molinos,La Puerta,--,--,--,--,--,--,--,--,--
1347,SALTA,Molinos,Molinos,SI,--,--,SI,SI,--,SI,SI,--
1348,SALTA,Molinos,Seclantás,--,--,--,SI,SI,--,SI,SI,SI
1349,SALTA,Orán,Aguas Blancas,--,--,--,--,SI,--,SI,SI,SI
1350,SALTA,Orán,Colonia Santa Rosa,--,SI,--,--,SI,SI,SI,SI,SI
1351,SALTA,Orán,El Tabacal,--,SI,--,SI,SI,--,SI,--,--
1352,SALTA,Orán,Hipólito Yrigoyen,SI,SI,--,SI,SI,SI,SI,SI,SI
1353,SALTA,Orán,La Misión,--,--,--,--,--,--,--,--,--
1354,SALTA,Orán,Pichanal,SI,SI,--,SI,SI,SI,SI,--,SI
1355,SANTA FE,General López,Maggiolo,SI,--,--,--,SI,SI,SI,SI,--
1356,SANTA FE,General López,María Teresa,SI,SI,--,--,SI,SI,SI,SI,--
1357,SANTA FE,General López,Melincué (Est. San Urbano),--,--,--,--,SI,SI,SI,SI,--
1358,SANTA FE,General López,Miguel Torres,--,SI,--,--,--,--,--,--,--
1359,SANTA FE,General López,Murphy,--,--,--,SI,SI,SI,SI,--,--
1360,SANTA FE,General López,Rufino,SI,SI,--,SI,SI,SI,SI,--,--
1361,SANTA FE,General López,San Eduardo,SI,--,--,SI,SI,--,SI,--,--
1362,SANTA FE,General López,San Francisco de Santa Fe,--,--,--,SI,SI,--,SI,--,SI
1363,SANTA FE,General López,San Gregorio,SI,--,--,SI,SI,SI,SI,SI,--
1364,SANTA FE,General López,Sancti Spiritu,SI,--,--,SI,SI,SI,SI,SI,SI
1365,SAN JUAN,Sarmiento,Cienaguita,--,--,--,SI,--,--,--,SI,--
1366,SAN JUAN,Sarmiento,Colonia Fiscal,--,--,--,--,--,--,--,--,--
1367,SAN JUAN,Sarmiento,Divisadero,--,--,--,--,SI,--,SI,SI,--
1368,SAN JUAN,Sarmiento,Guanacache,--,--,--,--,SI,--,SI,SI,--
1369,SAN JUAN,Sarmiento,Las Lagunas,--,--,--,--,SI,SI,--,--,SI
1370,SAN JUAN,Sarmiento,Los Berros,--,--,--,SI,SI,SI,SI,SI,--
1371,SAN JUAN,Sarmiento,Pedernal,--,--,--,--,SI,--,--,SI,--
1372,SAN JUAN,Sarmiento,Punta del Médano,--,--,--,--,SI,--,SI,SI,--
1373,SAN JUAN,Sarmiento,Villa Media Agua,--,--,--,SI,SI,SI,SI,SI,--
1374,SAN JUAN,Ullum,Villa Ibáñez,--,--,SI,--,SI,SI,SI,SI,--
1375,SAN JUAN,Valle Fértil,Astica,--,--,--,--,SI,SI,SI,SI,--
1376,SAN JUAN,Valle Fértil,Balde del Rosario,--,--,--,--,--,--,SI,--,--
1377,SAN JUAN,Valle Fértil,Chucuma,--,--,--,--,--,SI,--,--,--
1378,SAN JUAN,Valle Fértil,Los Baldecitos,--,--,--,--,SI,SI,SI,--,--
1379,SAN JUAN,Valle Fértil,Usno,--,--,--,--,--,--,--,--,--
1380,SAN JUAN,Valle Fértil,Villa San Agustín,--,--,--,SI,SI,--,SI,SI,SI
1381,SAN JUAN,Zonda,Villa Basilio Nievas,--,--,--,--,SI,SI,SI,SI,--
1382,SAN LUIS,Ayacucho,Balde De Los Torres,--,--,--,--,--,--,--,--,--
1383,SAN LUIS,Ayacucho,Balde Del Carmen,--,--,--,--,--,--,--,--,--
1384,SAN LUIS,Ayacucho,Balde Retamo,--,--,--,--,--,--,--,--,--
1385,SAN LUIS,Ayacucho,Baldecito De La Pampa,--,--,--,--,--,--,--,--,--
1386,SAN LUIS,Ayacucho,Candelaria,--,--,--,--,SI,--,SI,SI,--
1387,SAN LUIS,Ayacucho,Carpinteria,--,--,--,--,--,--,--,--,--
1388,SAN LUIS,Ayacucho,El Calden,--,--,--,--,--,--,--,--,--
1389,SAN LUIS,Ayacucho,El Injerto,--,--,--,--,--,--,--,--,--
1390,SAN LUIS,Ayacucho,El Rincon,--,--,--,--,--,--,--,--,--
1391,SAN LUIS,Ayacucho,El Vinagrillo,--,--,--,--,--,--,--,--,--
1392,SAN LUIS,Ayacucho,El Zapallar,--,--,--,--,--,--,--,--,--
1393,SAN LUIS,Ayacucho,La Aguada,--,--,--,--,--,--,--,--,--
1394,SAN LUIS,Ayacucho,La Avenencia,--,--,--,--,--,--,--,--,--
1395,SAN LUIS,Ayacucho,La Botija,--,--,--,--,--,--,--,--,--
1396,SAN LUIS,Ayacucho,La Brea,--,--,--,--,--,--,--,--,--
1397,SAN LUIS,Ayacucho,La Majada,--,--,--,--,--,--,--,SI,--
1398,SAN LUIS,Ayacucho,La Represita,--,--,--,--,--,--,--,--,--
1399,SAN LUIS,Ayacucho,La Salvadora,--,--,--,--,--,--,--,--,--
1400,SAN LUIS,Ayacucho,Las Chacras,--,--,--,--,--,--,--,--,--
1401,SAN LUIS,Ayacucho,Las Chimbas,--,--,--,--,--,--,--,--,--
1402,SAN LUIS,Ayacucho,Las Lagunitas,--,--,--,--,--,--,--,--,--
1403,SAN LUIS,Ayacucho,Leandro N. Alem,--,--,--,--,--,--,--,SI,--
1404,SAN LUIS,Ayacucho,Lomas Blancas,--,--,--,--,--,--,--,SI,--
1405,SAN LUIS,Ayacucho,Los Quemados,--,--,--,--,--,--,--,--,--
1406,SAN LUIS,Ayacucho,Luján,--,--,--,--,--,--,SI,SI,--
1407,SAN LUIS,Ayacucho,Pampa Grande,--,--,--,SI,--,--,--,--,--
1408,SAN LUIS,Ayacucho,Pozo Del Molle,--,--,--,--,--,--,--,--,--
1409,SAN LUIS,Ayacucho,Quines,--,--,--,--,SI,--,--,SI,SI
1410,SAN LUIS,Ayacucho,Río Juan Gómez,--,--,--,--,--,--,--,SI,--
1411,SAN LUIS,Ayacucho,Rodeo De Cadenas,--,--,--,--,--,--,--,--,--
1412,SAN LUIS,Belgrano,Villa de la Quebrada,--,--,--,SI,--,--,--,SI,--
1413,SAN LUIS,Belgrano,Villa General Roca,--,--,--,SI,--,--,--,SI,--
1414,SAN LUIS,Chacabuco,Balcarce,--,--,--,--,--,--,--,--,--
1415,SAN LUIS,Chacabuco,Colonia Zubelzu,--,--,--,--,--,--,--,--,--
1416,SAN LUIS,Chacabuco,Concarán,--,--,--,--,SI,SI,--,SI,SI
1417,SAN LUIS,Chacabuco,Cortaderas,--,--,--,SI,SI,SI,SI,SI,--
1418,SAN LUIS,Chacabuco,El Algarrobal,--,--,--,SI,--,--,--,--,--
1419,SAN LUIS,Chacabuco,El Churrasco,--,--,--,--,--,--,--,--,--
1420,SAN LUIS,Chacabuco,El Recuerdo,--,--,--,--,--,--,--,--,--
1421,SAN LUIS,Chacabuco,El Sauce,--,--,--,--,--,--,--,--,--
1422,SAN LUIS,Chacabuco,El Sifon,--,--,--,--,--,--,--,--,--
1423,SAN LUIS,Chacabuco,El Tala,--,--,--,--,--,--,--,--,--
1424,SAN LUIS,Chacabuco,La Celestina,--,--,--,--,--,--,--,--,--
1425,SAN LUIS,Chacabuco,Las Rosas,--,--,--,--,--,--,--,--,--
1426,SAN LUIS,Chacabuco,Naschel,--,--,--,--,SI,--,SI,SI,--
1427,SAN LUIS,Chacabuco,Papagayos,--,--,--,--,--,--,--,SI,--
1428,SAN LUIS,Chacabuco,Pozo Cavado,--,--,--,--,--,--,--,--,--
1429,SAN LUIS,Chacabuco,Punta De La Loma,--,--,--,--,--,--,--,--,--
1430,SAN LUIS,Chacabuco,Renca,--,--,--,--,--,--,--,SI,--
1431,SAN LUIS,Chacabuco,San Felipe,--,--,--,--,--,--,--,--,--
1432,SAN LUIS,Chacabuco,San Miguel,--,--,--,--,--,--,--,--,--
1433,SAN LUIS,Chacabuco,San Pablo,--,--,--,--,--,--,--,SI,--
1434,SAN LUIS,Chacabuco,Santa Martina,--,--,--,--,--,--,--,--,--
1435,SAN LUIS,Chacabuco,Tilisarao,--,--,--,--,SI,SI,--,SI,--
1436,SAN LUIS,Chacabuco,Villa del Carmen,--,--,--,--,SI,--,SI,SI,--
1437,SAN LUIS,Ayacucho,San Francisco del Monte de Oro,--,--,--,--,SI,--,--,SI,--
1438,SAN LUIS,Ayacucho,San Ignacio,--,--,--,--,--,--,--,--,--
1439,SAN LUIS,Ayacucho,San Miguel,--,--,--,--,--,--,--,--,SI
1440,SAN LUIS,Ayacucho,San Roque,--,--,--,--,--,--,--,--,--
1441,SAN LUIS,Ayacucho,Santa Ana,--,--,--,--,--,--,--,--,--
1442,SAN LUIS,Ayacucho,Santa Rosa De Catantal,--,--,--,--,--,--,--,--,--
1443,SAN LUIS,Ayacucho,Santa Teresa,--,--,--,--,--,--,--,--,--
1444,SAN LUIS,Ayacucho,Santo Domingo,--,--,--,--,--,--,--,--,--
1445,SAN LUIS,Ayacucho,Talita,--,--,--,--,--,--,--,--,--
1446,SAN LUIS,Belgrano,Arbol Solo,--,--,--,--,--,--,--,--,--
1447,SAN LUIS,Belgrano,Bella Estancia,--,--,--,--,--,--,--,--,--
1448,SAN LUIS,Belgrano,Buen Orden,--,--,--,--,--,--,--,--,--
1449,SAN LUIS,Belgrano,El Barrial,--,--,--,--,--,--,--,--,--
1450,SAN LUIS,Belgrano,El Milagro,--,--,--,--,--,--,--,--,--
1451,SAN LUIS,Belgrano,El Recodo,--,--,--,--,--,--,--,--,--
1452,SAN LUIS,Belgrano,Estancia De Amieva,--,--,--,--,--,--,--,--,--
1453,SAN LUIS,Belgrano,Hualtaran,--,--,--,--,--,--,--,--,--
1454,SAN LUIS,Belgrano,La Calera,--,--,--,SI,--,--,SI,SI,--
1455,SAN LUIS,Belgrano,Las Lagunitas,--,--,--,--,--,--,--,--,--
1456,SAN LUIS,Belgrano,Los Molles,--,--,--,--,--,--,--,SI,--
1457,SAN LUIS,Belgrano,Los Ramblones,--,--,--,--,--,--,--,--,--
